,Query,Score,Classification Match,Manual Classification,Interaction,Discipline,Issue,Agent Name
0,I want to customise notebook But I can’t able to upload the pic Can u plz help me,22.0,0,Query,Query,"[Classification<prediction: ""Brand"", confidence: 0.28400135, labels: {'Brand': LabelPrediction(confidence=0.28400135), 'People': LabelPrediction(confidence=0.091746025), 'Pricing': LabelPrediction(confidence=0.044821817), 'Product_Availability': LabelPrediction(confidence=0.07340957), 'Product_Foreign Body': LabelPrediction(confidence=0.02268082), 'Product_Generic': LabelPrediction(confidence=0.013751861), 'Product_Infestation': LabelPrediction(confidence=0.02277671), 'Product_Ingridients': LabelPrediction(confidence=0.07026659), 'Product_Packging': LabelPrediction(confidence=0.02231911), 'Product_Quality': LabelPrediction(confidence=0.015116258), 'Product_Sensory': LabelPrediction(confidence=0.019774407), 'Promotion': LabelPrediction(confidence=0.069562994), 'Service': LabelPrediction(confidence=0.2497725)}>]",Collaboration With ITC,Jose
1,"We need 500 to 1,000 note book..with front page photo..how much is total price ?",44.0,0,Query,Query,"[Classification<prediction: ""Pricing"", confidence: 0.5628451, labels: {'Brand': LabelPrediction(confidence=0.044900127), 'People': LabelPrediction(confidence=0.042754527), 'Pricing': LabelPrediction(confidence=0.5628451), 'Product_Availability': LabelPrediction(confidence=0.032590978), 'Product_Foreign Body': LabelPrediction(confidence=0.023118434), 'Product_Generic': LabelPrediction(confidence=0.0315995), 'Product_Infestation': LabelPrediction(confidence=0.027108474), 'Product_Ingridients': LabelPrediction(confidence=0.037276365), 'Product_Packging': LabelPrediction(confidence=0.021957517), 'Product_Quality': LabelPrediction(confidence=0.022585226), 'Product_Sensory': LabelPrediction(confidence=0.02509207), 'Promotion': LabelPrediction(confidence=0.07042362), 'Service': LabelPrediction(confidence=0.05774805)}>]",Price,Vijay
2,"Greetings @Creativefuel.io is ecstatic in reaching out to you and discussing an interesting marketing strategy that will enhance your brand credibility and accelerate the growth.  @Creativefuel.io is a leading agency driven by Influencer Marketing and meme marketing .  We have a combined network of 500M+ followers over Facebook, Instagram and LinkedIn, and over 2K influencers on board with us.  Looking forward to hearing from you.  Connect us on: Contact- 8461992259 Email - preeti@creativefuel.io",22.0,1,Query,Collaboration,"[Classification<prediction: ""Brand"", confidence: 0.5565977, labels: {'Brand': LabelPrediction(confidence=0.5565977), 'People': LabelPrediction(confidence=0.039813343), 'Pricing': LabelPrediction(confidence=0.035098664), 'Product_Availability': LabelPrediction(confidence=0.028586734), 'Product_Foreign Body': LabelPrediction(confidence=0.030742725), 'Product_Generic': LabelPrediction(confidence=0.016160788), 'Product_Infestation': LabelPrediction(confidence=0.03233369), 'Product_Ingridients': LabelPrediction(confidence=0.053713683), 'Product_Packging': LabelPrediction(confidence=0.017775988), 'Product_Quality': LabelPrediction(confidence=0.022878995), 'Product_Sensory': LabelPrediction(confidence=0.02834916), 'Promotion': LabelPrediction(confidence=0.054680984), 'Service': LabelPrediction(confidence=0.08326754)}>]",Collaboration With ITC,Rustom
3,Customer is looking for the distributorship,2.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.43762434, labels: {'Brand': LabelPrediction(confidence=0.04957545), 'People': LabelPrediction(confidence=0.43762434), 'Pricing': LabelPrediction(confidence=0.04525206), 'Product_Availability': LabelPrediction(confidence=0.07202903), 'Product_Foreign Body': LabelPrediction(confidence=0.020966321), 'Product_Generic': LabelPrediction(confidence=0.027886448), 'Product_Infestation': LabelPrediction(confidence=0.03221414), 'Product_Ingridients': LabelPrediction(confidence=0.031106832), 'Product_Packging': LabelPrediction(confidence=0.039528094), 'Product_Quality': LabelPrediction(confidence=0.02570754), 'Product_Sensory': LabelPrediction(confidence=0.027724806), 'Promotion': LabelPrediction(confidence=0.07483004), 'Service': LabelPrediction(confidence=0.1155549)}>]",New Distributorship Request W / O Details,Vijay
4,Every time i want to order photos can't be uploaded.,73.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.27615148, labels: {'Brand': LabelPrediction(confidence=0.109423116), 'People': LabelPrediction(confidence=0.24283229), 'Pricing': LabelPrediction(confidence=0.03410378), 'Product_Availability': LabelPrediction(confidence=0.11827187), 'Product_Foreign Body': LabelPrediction(confidence=0.020041963), 'Product_Generic': LabelPrediction(confidence=0.015767613), 'Product_Infestation': LabelPrediction(confidence=0.024480997), 'Product_Ingridients': LabelPrediction(confidence=0.03716081), 'Product_Packging': LabelPrediction(confidence=0.033013873), 'Product_Quality': LabelPrediction(confidence=0.014922336), 'Product_Sensory': LabelPrediction(confidence=0.017174529), 'Promotion': LabelPrediction(confidence=0.056655347), 'Service': LabelPrediction(confidence=0.27615148)}>]",Unavailablity / Shortage,Anthony
5,I got a call regarding distributorship in my city. I am here to confirm the genuineness of the call and is there any place vacant for this business. Please revert soon.,2.0,0,Query,Query,"[Classification<prediction: ""People"", confidence: 0.44248205, labels: {'Brand': LabelPrediction(confidence=0.049656827), 'People': LabelPrediction(confidence=0.44248205), 'Pricing': LabelPrediction(confidence=0.040766846), 'Product_Availability': LabelPrediction(confidence=0.07165332), 'Product_Foreign Body': LabelPrediction(confidence=0.021470444), 'Product_Generic': LabelPrediction(confidence=0.029169789), 'Product_Infestation': LabelPrediction(confidence=0.032401703), 'Product_Ingridients': LabelPrediction(confidence=0.0301343), 'Product_Packging': LabelPrediction(confidence=0.042103384), 'Product_Quality': LabelPrediction(confidence=0.026649442), 'Product_Sensory': LabelPrediction(confidence=0.02828241), 'Promotion': LabelPrediction(confidence=0.07261745), 'Service': LabelPrediction(confidence=0.11261204)}>]",New Distributorship Request W / O Details,Akbar
6,Wholesale account,23.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.28423804, labels: {'Brand': LabelPrediction(confidence=0.16778424), 'People': LabelPrediction(confidence=0.21646467), 'Pricing': LabelPrediction(confidence=0.05587817), 'Product_Availability': LabelPrediction(confidence=0.053511277), 'Product_Foreign Body': LabelPrediction(confidence=0.019641683), 'Product_Generic': LabelPrediction(confidence=0.016222129), 'Product_Infestation': LabelPrediction(confidence=0.020924704), 'Product_Ingridients': LabelPrediction(confidence=0.0377676), 'Product_Packging': LabelPrediction(confidence=0.021817716), 'Product_Quality': LabelPrediction(confidence=0.013956203), 'Product_Sensory': LabelPrediction(confidence=0.016739193), 'Promotion': LabelPrediction(confidence=0.07505436), 'Service': LabelPrediction(confidence=0.28423804)}>]",Collaboration With ITC,Akbar
7,Hello. I am from Manipal university jaipur. This November we are having TEDex program in our university. Wanted to know the procedure for sponsorship.,22.0,0,Query,Query,"[Classification<prediction: ""Brand"", confidence: 0.3456774, labels: {'Brand': LabelPrediction(confidence=0.3456774), 'People': LabelPrediction(confidence=0.056330245), 'Pricing': LabelPrediction(confidence=0.060408194), 'Product_Availability': LabelPrediction(confidence=0.028547142), 'Product_Foreign Body': LabelPrediction(confidence=0.031951766), 'Product_Generic': LabelPrediction(confidence=0.021954909), 'Product_Infestation': LabelPrediction(confidence=0.036987793), 'Product_Ingridients': LabelPrediction(confidence=0.067798436), 'Product_Packging': LabelPrediction(confidence=0.024025181), 'Product_Quality': LabelPrediction(confidence=0.024965597), 'Product_Sensory': LabelPrediction(confidence=0.029515682), 'Promotion': LabelPrediction(confidence=0.19981365), 'Service': LabelPrediction(confidence=0.072024)}>]",Collaboration With ITC,Vikram
8,@ITCHotels BATCH 2006b17 - CASHEW AND ALMOND BISCUIT THE WORST BISCUITS I HAVE TASTED IN ALL MY LIFE YOU ARE FIT TO ONLY MAKE CIGARETTES AND SPOIL INDIANS AND INDIA WORST BRAND. WORST BISCUITS. WORST HOSPITALITY. ASK YOUR CEO Sanjiv Puri TO TASTE THOSE LOUSY BISCUITS IN A LIVE TV INTERVIEW,58.0,0,Complaint,Complaint,"[Classification<prediction: ""Product_Quality"", confidence: 0.37348154, labels: {'Brand': LabelPrediction(confidence=0.01607314), 'People': LabelPrediction(confidence=0.020555658), 'Pricing': LabelPrediction(confidence=0.022511832), 'Product_Availability': LabelPrediction(confidence=0.022097452), 'Product_Foreign Body': LabelPrediction(confidence=0.03126993), 'Product_Generic': LabelPrediction(confidence=0.108406976), 'Product_Infestation': LabelPrediction(confidence=0.024018427), 'Product_Ingridients': LabelPrediction(confidence=0.028909396), 'Product_Packging': LabelPrediction(confidence=0.04814604), 'Product_Quality': LabelPrediction(confidence=0.37348154), 'Product_Sensory': LabelPrediction(confidence=0.27178067), 'Promotion': LabelPrediction(confidence=0.01872621), 'Service': LabelPrediction(confidence=0.014022751)}>]",Taste / Flavour,Vikram
9,Can I have a dairy with my customised photo printed on its cover page??,23.0,0,Query,Query,"[Classification<prediction: ""Service"", confidence: 0.33131692, labels: {'Brand': LabelPrediction(confidence=0.20937125), 'People': LabelPrediction(confidence=0.12535411), 'Pricing': LabelPrediction(confidence=0.0466867), 'Product_Availability': LabelPrediction(confidence=0.06912211), 'Product_Foreign Body': LabelPrediction(confidence=0.025737438), 'Product_Generic': LabelPrediction(confidence=0.015284655), 'Product_Infestation': LabelPrediction(confidence=0.02509366), 'Product_Ingridients': LabelPrediction(confidence=0.04461019), 'Product_Packging': LabelPrediction(confidence=0.020982925), 'Product_Quality': LabelPrediction(confidence=0.015999679), 'Product_Sensory': LabelPrediction(confidence=0.019546747), 'Promotion': LabelPrediction(confidence=0.050893605), 'Service': LabelPrediction(confidence=0.33131692)}>]",Collaboration With ITC,Rustom
